timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime
1374967287990,14,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,14,1,0,0
1374967288235,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,3,1,0,0
1374967288259,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,3,1,0,0
1374967288282,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,2,1,0,0
1374967288301,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,3,1,0,0
1374967288319,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,2,1,0,0
1374967288340,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,3,1,0,0
1374967288357,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,2,1,0,0
1374967288384,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,2,1,0,0
1374967288399,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,3,1,0,0
1374967288415,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,2,1,0,0
1374967288431,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,2,1,0,0
1374967288446,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,2,1,0,0
1374967288461,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,2,1,0,0
1374967288478,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,2,1,0,0
1374967288498,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,3,1,0,0
1374967288515,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,3,1,0,0
1374967288532,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,4,1,0,0
1374967288552,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,2,1,0,0
1374967288568,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,464,1,1,2,1,0,0
1374967288591,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,2,1,0,0
1374967288617,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,4,1,0,0
1374967288649,6,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,6,1,0,0
1374967288677,6,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,6,1,0,0
1374967288707,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,4,1,0,0
1374967288736,8,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,8,1,0,0
1374967288761,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,4,1,0,0
1374967288786,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,2,1,0,0
1374967288811,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,2,1,0,0
1374967288828,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,2,1,0,0
1374967288841,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,2,1,0,0
1374967288854,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,2,1,0,0
1374967288868,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,2,1,0,0
1374967288881,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,5,1,0,0
1374967288904,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,2,1,0,0
1374967288917,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,2,1,0,0
1374967288932,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,3,1,0,0
1374967288949,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,2,1,0,0
1374967288961,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,3,1,0,0
1374967288975,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,2,1,0,0
1374967288987,3,HTTP Request,400,Bad Request,ThreadGroup 1-1,text,false,826,1,1,3,1,1,0
1374967289001,7,HTTP Request,400,Bad Request,ThreadGroup 1-1,text,false,834,1,1,7,1,1,0
1374967289020,2,HTTP Request,400,Bad Request,ThreadGroup 1-1,text,false,860,1,1,2,1,1,0
1374967289033,3,HTTP Request,400,Bad Request,ThreadGroup 1-1,text,false,854,1,1,3,1,1,0
1374967289047,45,HTTP Request,200,OK,ThreadGroup 1-1,text,true,716001,1,1,7,1,0,0
1374967289312,17,HTTP Request,200,OK,ThreadGroup 1-1,text,true,31031,1,1,15,1,0,0
1374967289415,15,HTTP Request,200,OK,ThreadGroup 1-1,text,true,58114,1,1,12,1,0,0
1374967289549,21,HTTP Request,200,OK,ThreadGroup 1-1,text,true,314466,1,1,7,1,0,0
1374967289683,14,HTTP Request,200,OK,ThreadGroup 1-1,text,true,159721,1,1,8,1,0,0
1374967289828,25,HTTP Request,200,OK,ThreadGroup 1-1,text,true,470632,1,1,7,1,0,0
1374967289940,21,HTTP Request,200,OK,ThreadGroup 1-1,text,true,233426,1,1,13,1,0,0
1374967290010,72,HTTP Request,200,OK,ThreadGroup 1-1,text,true,180448,1,1,66,1,0,0
1374967290130,29,HTTP Request,200,OK,ThreadGroup 1-1,text,true,387649,1,1,12,1,0,0
1374967290205,14,HTTP Request,200,OK,ThreadGroup 1-1,text,true,55730,1,1,13,1,0,0
1374967290247,16,HTTP Request,200,OK,ThreadGroup 1-1,text,true,58109,1,1,14,1,0,0
1374967290287,20,HTTP Request,200,OK,ThreadGroup 1-1,text,true,190183,1,1,12,1,0,0
1374967290342,9,HTTP Request,200,OK,ThreadGroup 1-1,text,true,40518,1,1,8,1,0,0
1374967290378,10,HTTP Request,200,OK,ThreadGroup 1-1,text,true,40518,1,1,8,1,0,0
1374967290407,10,HTTP Request,200,OK,ThreadGroup 1-1,text,true,147840,1,1,6,1,0,0
1374967290451,26,HTTP Request,200,OK,ThreadGroup 1-1,text,true,384792,1,1,14,1,0,0
1374967290501,24,HTTP Request,200,OK,ThreadGroup 1-1,text,true,618057,1,1,6,1,0,0
1374967290569,15,HTTP Request,200,OK,ThreadGroup 1-1,text,true,31028,1,1,15,1,0,0
1374967290606,15,HTTP Request,200,OK,ThreadGroup 1-1,text,true,262015,1,1,7,1,0,0
1374967290646,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,440,1,1,7,1,0,0
1374967290685,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,421,1,1,4,1,0,0
1374967290705,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,4,1,0,0
1374967290726,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,426,1,1,7,1,0,0
1374967290742,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,423,1,1,3,1,0,0
1374967290763,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,426,1,1,4,1,0,0
1374967290781,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,424,1,1,5,1,0,0
1374967290807,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,421,1,1,3,1,0,0
1374967290825,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,424,1,1,4,1,0,0
1374967290841,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,3,1,0,0
1374967290852,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,423,1,1,3,1,0,0
1374967290874,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,426,1,1,3,1,0,0
1374967290908,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,3,1,0,0
1374967290927,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,424,1,1,3,1,0,0
1374967290938,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,426,1,1,5,1,0,0
1374967290960,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,423,1,1,5,1,0,0
1374967290987,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,424,1,1,3,1,0,0
1374967291000,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,426,1,1,7,1,0,0
1374967291022,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,423,1,1,5,1,0,0
1374967291043,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,422,1,1,7,1,0,0
1374967291058,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,425,1,1,5,1,0,0
1374967291080,26,HTTP Request,200,OK,ThreadGroup 1-1,text,true,703957,1,1,6,1,0,0
1374967291347,14,HTTP Request,200,OK,ThreadGroup 1-1,text,true,258612,1,1,7,1,0,0
1374967291402,7,HTTP Request,200,OK,ThreadGroup 1-1,text,true,34882,1,1,6,1,0,0
1374967291432,13,HTTP Request,200,OK,ThreadGroup 1-1,text,true,48594,1,1,11,1,0,0
