timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime
1374967373453,603,HTTP Request,200,OK,ThreadGroup 1-1,text,false,24405,1,1,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,601,1,1,0
1374967374351,607,HTTP Request,200,OK,ThreadGroup 1-1,text,false,32359,1,1,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,605,1,1,0
1374967375025,570,HTTP Request,200,OK,ThreadGroup 1-1,text,false,82512,1,1,http://adsate:9002/solr/select?q=tab+%3E%3D0&xid=jmeter,564,1,1,0
1374967375655,847,HTTP Request,200,OK,ThreadGroup 1-1,text,false,60651,1,1,http://adsate:9002/solr/select?q=separated+%3E%3D0&xid=jmeter,843,1,1,0
1374967376562,605,HTTP Request,200,OK,ThreadGroup 1-1,text,false,60898,1,1,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,600,1,1,0
1374967377197,479,HTTP Request,200,OK,ThreadGroup 1-1,text,false,38963,1,1,http://adsate:9002/solr/select?q=of++%3E%3D0&xid=jmeter,475,1,1,0
1374967377701,562,HTTP Request,200,OK,ThreadGroup 1-1,text,false,16932,1,1,http://adsate:9002/solr/select?q=queries+%3E%3D0&xid=jmeter,559,1,1,0
1374967378292,404,HTTP Request,200,OK,ThreadGroup 1-1,text,false,38965,2,2,http://adsate:9002/solr/select?q=with++%3E%3D0&xid=jmeter,399,1,1,0
1374967378725,983,HTTP Request,200,OK,ThreadGroup 1-1,text,false,163109,2,2,http://adsate:9002/solr/select?q=in+the+second+column++%3E%3D0&xid=jmeter,970,1,1,0
1374967378441,1694,HTTP Request,200,OK,ThreadGroup 1-2,text,false,121439,2,2,http://adsate:9002/solr/select?q=number+of+expected+results++%3E%3D0&xid=jmeter,1684,1,1,0
1374967379748,593,HTTP Request,200,OK,ThreadGroup 1-1,text,false,24405,2,2,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,589,1,1,0
1374967380164,609,HTTP Request,200,OK,ThreadGroup 1-2,text,false,32359,2,2,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,606,1,1,0
1374967380361,573,HTTP Request,200,OK,ThreadGroup 1-1,text,false,82512,2,2,http://adsate:9002/solr/select?q=tab+%3E%3D0&xid=jmeter,565,1,1,0
1374967380957,610,HTTP Request,200,OK,ThreadGroup 1-1,text,false,60898,2,2,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,604,1,1,0
1374967380792,847,HTTP Request,200,OK,ThreadGroup 1-2,text,false,60651,2,2,http://adsate:9002/solr/select?q=separated+%3E%3D0&xid=jmeter,840,1,1,0
1374967381590,480,HTTP Request,200,OK,ThreadGroup 1-1,text,false,38963,2,2,http://adsate:9002/solr/select?q=of++%3E%3D0&xid=jmeter,475,1,1,0
1374967381681,567,HTTP Request,200,OK,ThreadGroup 1-2,text,false,16932,2,2,http://adsate:9002/solr/select?q=queries+%3E%3D0&xid=jmeter,563,1,1,0
1374967382089,404,HTTP Request,200,OK,ThreadGroup 1-1,text,false,38965,2,2,http://adsate:9002/solr/select?q=with++%3E%3D0&xid=jmeter,399,1,1,0
1374967382519,989,HTTP Request,200,OK,ThreadGroup 1-1,text,false,163109,3,3,http://adsate:9002/solr/select?q=in+the+second+column++%3E%3D0&xid=jmeter,976,1,1,0
1374967382265,1692,HTTP Request,200,OK,ThreadGroup 1-2,text,false,121439,3,3,http://adsate:9002/solr/select?q=number+of+expected+results++%3E%3D0&xid=jmeter,1680,1,1,0
1374967383440,595,HTTP Request,200,OK,ThreadGroup 1-3,text,false,24405,3,3,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,592,1,1,0
1374967383544,609,HTTP Request,200,OK,ThreadGroup 1-1,text,false,32359,3,3,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,605,1,1,0
1374967383981,569,HTTP Request,200,OK,ThreadGroup 1-2,text,false,82512,3,3,http://adsate:9002/solr/select?q=tab+%3E%3D0&xid=jmeter,563,1,1,0
1374967384169,610,HTTP Request,200,OK,ThreadGroup 1-1,text,false,60898,3,3,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,603,1,1,0
1374967384053,852,HTTP Request,200,OK,ThreadGroup 1-3,text,false,60651,3,3,http://adsate:9002/solr/select?q=separated+%3E%3D0&xid=jmeter,844,1,1,0
1374967384568,474,HTTP Request,200,OK,ThreadGroup 1-2,text,false,38963,3,3,http://adsate:9002/solr/select?q=of++%3E%3D0&xid=jmeter,470,1,1,0
1374967384920,405,HTTP Request,200,OK,ThreadGroup 1-3,text,false,38965,3,3,http://adsate:9002/solr/select?q=with++%3E%3D0&xid=jmeter,400,1,1,0
1374967384796,564,HTTP Request,200,OK,ThreadGroup 1-1,text,false,16932,3,3,http://adsate:9002/solr/select?q=queries+%3E%3D0&xid=jmeter,561,1,1,0
1374967385374,594,HTTP Request,200,OK,ThreadGroup 1-1,text,false,24405,3,3,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,590,1,1,0
1374967385339,991,HTTP Request,200,OK,ThreadGroup 1-3,text,false,163109,3,3,http://adsate:9002/solr/select?q=in+the+second+column++%3E%3D0&xid=jmeter,977,1,1,0
1374967385983,613,HTTP Request,200,OK,ThreadGroup 1-1,text,false,32359,3,3,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,609,1,1,0
1374967385059,1696,HTTP Request,200,OK,ThreadGroup 1-2,text,false,121439,3,3,http://adsate:9002/solr/select?q=number+of+expected+results++%3E%3D0&xid=jmeter,1684,1,1,0
1374967386349,569,HTTP Request,200,OK,ThreadGroup 1-3,text,false,82512,3,3,http://adsate:9002/solr/select?q=tab+%3E%3D0&xid=jmeter,563,1,1,0
1374967386771,606,HTTP Request,200,OK,ThreadGroup 1-2,text,false,60898,3,3,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,600,1,1,0
1374967386934,475,HTTP Request,200,OK,ThreadGroup 1-3,text,false,38963,3,3,http://adsate:9002/solr/select?q=of++%3E%3D0&xid=jmeter,470,1,1,0
1374967386610,848,HTTP Request,200,OK,ThreadGroup 1-1,text,false,60651,3,3,http://adsate:9002/solr/select?q=separated+%3E%3D0&xid=jmeter,840,1,1,0
1374967387424,409,HTTP Request,200,OK,ThreadGroup 1-3,text,false,38965,3,3,http://adsate:9002/solr/select?q=with++%3E%3D0&xid=jmeter,403,1,1,0
1374967387393,564,HTTP Request,200,OK,ThreadGroup 1-2,text,false,16932,3,3,http://adsate:9002/solr/select?q=queries+%3E%3D0&xid=jmeter,561,1,1,0
1374967387972,595,HTTP Request,200,OK,ThreadGroup 1-2,text,false,24405,4,4,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,591,1,1,0
1374967387848,986,HTTP Request,200,OK,ThreadGroup 1-3,text,false,163109,4,4,http://adsate:9002/solr/select?q=in+the+second+column++%3E%3D0&xid=jmeter,973,1,1,0
1374967388441,613,HTTP Request,200,OK,ThreadGroup 1-4,text,false,32359,4,4,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,609,1,1,0
1374967388582,575,HTTP Request,200,OK,ThreadGroup 1-2,text,false,82512,4,4,http://adsate:9002/solr/select?q=tab+%3E%3D0&xid=jmeter,566,1,1,0
1374967387474,1694,HTTP Request,200,OK,ThreadGroup 1-1,text,false,121439,4,4,http://adsate:9002/solr/select?q=number+of+expected+results++%3E%3D0&xid=jmeter,1682,1,1,0
1374967389171,477,HTTP Request,200,OK,ThreadGroup 1-2,text,false,38963,4,4,http://adsate:9002/solr/select?q=of++%3E%3D0&xid=jmeter,473,1,1,0
1374967389068,611,HTTP Request,200,OK,ThreadGroup 1-4,text,false,60898,4,4,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,604,1,1,0
1374967388854,847,HTTP Request,200,OK,ThreadGroup 1-3,text,false,60651,4,4,http://adsate:9002/solr/select?q=separated+%3E%3D0&xid=jmeter,841,1,1,0
1374967389184,567,HTTP Request,200,OK,ThreadGroup 1-1,text,false,16932,4,4,http://adsate:9002/solr/select?q=queries+%3E%3D0&xid=jmeter,564,1,1,0
1374967389663,407,HTTP Request,200,OK,ThreadGroup 1-2,text,false,38965,4,4,http://adsate:9002/solr/select?q=with++%3E%3D0&xid=jmeter,401,1,1,0
1374967389764,595,HTTP Request,200,OK,ThreadGroup 1-1,text,false,24405,4,4,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,590,1,1,0
1374967390085,608,HTTP Request,200,OK,ThreadGroup 1-2,text,false,32359,4,4,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,604,1,1,0
1374967389716,985,HTTP Request,200,OK,ThreadGroup 1-3,text,false,163109,4,4,http://adsate:9002/solr/select?q=in+the+second+column++%3E%3D0&xid=jmeter,973,1,1,0
1374967390379,570,HTTP Request,200,OK,ThreadGroup 1-1,text,false,82512,4,4,http://adsate:9002/solr/select?q=tab+%3E%3D0&xid=jmeter,562,1,1,0
1374967390716,611,HTTP Request,200,OK,ThreadGroup 1-3,text,false,60898,4,4,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,603,1,1,0
1374967389694,1697,HTTP Request,200,OK,ThreadGroup 1-4,text,false,121439,4,4,http://adsate:9002/solr/select?q=number+of+expected+results++%3E%3D0&xid=jmeter,1685,1,1,0
1374967390965,475,HTTP Request,200,OK,ThreadGroup 1-1,text,false,38963,4,4,http://adsate:9002/solr/select?q=of++%3E%3D0&xid=jmeter,471,1,1,0
1374967390708,850,HTTP Request,200,OK,ThreadGroup 1-2,text,false,60651,4,4,http://adsate:9002/solr/select?q=separated+%3E%3D0&xid=jmeter,843,1,1,0
1374967391409,404,HTTP Request,200,OK,ThreadGroup 1-4,text,false,38965,4,4,http://adsate:9002/solr/select?q=with++%3E%3D0&xid=jmeter,401,1,1,0
1374967391340,568,HTTP Request,200,OK,ThreadGroup 1-3,text,false,16932,4,4,http://adsate:9002/solr/select?q=queries+%3E%3D0&xid=jmeter,565,1,1,0
1374967391828,596,HTTP Request,200,OK,ThreadGroup 1-4,text,false,24405,4,4,http://adsate:9002/solr/select?q=this+is+a+demo++%3E%3D0&xid=jmeter,593,1,1,0
1374967391922,613,HTTP Request,200,OK,ThreadGroup 1-3,text,false,32359,4,4,http://adsate:9002/solr/select?q=query+list+%3E%3D0&xid=jmeter,609,1,1,0
1374967391575,986,HTTP Request,200,OK,ThreadGroup 1-2,text,false,163109,4,4,http://adsate:9002/solr/select?q=in+the+second+column++%3E%3D0&xid=jmeter,976,1,1,0
1374967392439,575,HTTP Request,200,OK,ThreadGroup 1-4,text,false,82512,4,4,http://adsate:9002/solr/select?q=tab+%3E%3D0&xid=jmeter,567,1,1,0
1374967391455,1697,HTTP Request,200,OK,ThreadGroup 1-1,text,false,121439,4,4,http://adsate:9002/solr/select?q=number+of+expected+results++%3E%3D0&xid=jmeter,1687,1,1,0
1374967392577,607,HTTP Request,200,OK,ThreadGroup 1-2,text,false,60898,4,4,http://adsate:9002/solr/select?q=list++%3E%3D0&xid=jmeter,601,1,1,0
