timeStamp,elapsed,label,responseCode,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime
1374967576625,17,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%282011arxiv1104.2396k+AND+1912jgr....17..149t%29&xid=jmeter,17,1,0,0
1374967576860,4,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%281908jgr....13...83.+AND+1851an.....31..301p%29&xid=jmeter,4,1,0,0
1374967576879,4,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%281924jgr....29..187m+AND+2011arxiv1108.2588t%29&xid=jmeter,4,1,0,0
1374967576897,2,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%281893sidm...12..923c+AND+1864an.....61...33k%29&xid=jmeter,2,1,0,0
1374967576916,2,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%281823an......1..167o+AND+1873an.....80..319w%29&xid=jmeter,2,1,0,0
1374967576932,4,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%281922jgr....27...86.+AND+1905an....167....5p%29&xid=jmeter,4,1,0,0
1374967576950,3,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%282011arxiv1105.4166l+AND+1920jgr....25..110c%29&xid=jmeter,3,1,0,0
1374967576967,3,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%281890an....123..189b+AND+1846an.....23..255d%29&xid=jmeter,3,1,0,0
1374967576986,2,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%281907an....173...83l+AND+1905jgr....10..190w%29&xid=jmeter,2,1,0,0
1374967577001,2,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%281924jgr....29..109s+AND+1857an.....47..301p%29&xid=jmeter,2,1,0,0
1374967577016,2,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%282003hep.th....3252b+AND+1922jgr....27..101m%29&xid=jmeter,2,1,0,0
1374967577032,2,HTTP Request,200,ThreadGroup 1-1,text,true,464,1,1,http://adsate:9002/solr/select?q=alternate_bibcode%3A%281851an.....31..175.+AND+1890qb4.h33v24.....%29&xid=jmeter,2,1,0,0
