timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime
1374967661407,607,HTTP Request,200,OK,ThreadGroup 1-1,text,false,24405,1,1,607,1,1,0
1374967662316,616,HTTP Request,200,OK,ThreadGroup 1-1,text,false,32359,1,1,613,1,1,0
1374967663036,569,HTTP Request,200,OK,ThreadGroup 1-1,text,false,82512,1,1,564,1,1,0
1374967663671,845,HTTP Request,200,OK,ThreadGroup 1-1,text,false,60651,1,1,841,1,1,0
1374967664570,606,HTTP Request,200,OK,ThreadGroup 1-1,text,false,60898,1,1,602,1,1,0
1374967665216,473,HTTP Request,200,OK,ThreadGroup 1-1,text,false,38963,1,1,470,1,1,0
1374967665715,559,HTTP Request,200,OK,ThreadGroup 1-1,text,false,16932,1,1,556,1,1,0
1374967666299,409,HTTP Request,200,OK,ThreadGroup 1-1,text,false,38965,2,2,404,1,1,0
1374967666741,985,HTTP Request,200,OK,ThreadGroup 1-1,text,false,163109,2,2,974,1,1,0
1374967666392,1694,HTTP Request,200,OK,ThreadGroup 1-2,text,false,121439,2,2,1685,1,1,0
1374967667759,596,HTTP Request,200,OK,ThreadGroup 1-1,text,false,24405,2,2,592,1,1,0
1374967668108,609,HTTP Request,200,OK,ThreadGroup 1-2,text,false,32359,2,2,606,1,1,0
1374967668373,571,HTTP Request,200,OK,ThreadGroup 1-1,text,false,82512,2,2,564,1,1,0
1374967668739,848,HTTP Request,200,OK,ThreadGroup 1-2,text,false,60651,2,2,842,1,1,0
1374967668964,608,HTTP Request,200,OK,ThreadGroup 1-1,text,false,60898,2,2,602,1,1,0
1374967669605,476,HTTP Request,200,OK,ThreadGroup 1-2,text,false,38963,2,2,472,1,1,0
1374967669606,564,HTTP Request,200,OK,ThreadGroup 1-1,text,false,16932,2,2,561,1,1,0
1374967670102,405,HTTP Request,200,OK,ThreadGroup 1-2,text,false,38965,2,2,399,1,1,0
1374967670523,982,HTTP Request,200,OK,ThreadGroup 1-2,text,false,163109,3,3,971,1,1,0
1374967670188,1691,HTTP Request,200,OK,ThreadGroup 1-1,text,false,121439,3,3,1681,1,1,0
1374967671393,598,HTTP Request,200,OK,ThreadGroup 1-3,text,false,24405,3,3,595,1,1,0
1374967671542,609,HTTP Request,200,OK,ThreadGroup 1-2,text,false,32359,3,3,605,1,1,0
1374967671899,571,HTTP Request,200,OK,ThreadGroup 1-1,text,false,82512,3,3,565,1,1,0
1374967672170,607,HTTP Request,200,OK,ThreadGroup 1-2,text,false,60898,3,3,600,1,1,0
1374967672003,846,HTTP Request,200,OK,ThreadGroup 1-3,text,false,60651,3,3,839,1,1,0
1374967672487,476,HTTP Request,200,OK,ThreadGroup 1-1,text,false,38963,3,3,471,1,1,0
1374967672868,405,HTTP Request,200,OK,ThreadGroup 1-3,text,false,38965,3,3,401,1,1,0
