Elapsed time,HTTP Request (failure)
19:31:15.0,2.0
19:31:16.0,1.0
19:31:17.0,1.0
19:31:18.0,2.0
19:31:19.0,2.0
19:31:20.0,1.0
19:31:21.0,4.0
19:31:22.0,2.0
19:31:23.0,3.0
19:31:24.0,3.0
19:31:25.0,5.0
19:31:26.0,3.0
19:31:27.0,4.0
19:31:28.0,5.0
19:31:29.0,2.0
19:31:30.0,7.0
19:31:31.0,5.0
19:31:32.0,6.0
19:31:33.0,4.0
19:31:34.0,6.0
19:31:35.0,8.0
19:31:36.0,6.0
19:31:37.0,6.0
19:31:38.0,6.0
19:31:39.0,7.0
19:31:40.0,9.0
19:31:41.0,7.0
19:31:42.0,8.0
19:31:43.0,7.0
19:31:44.0,9.0
19:31:45.0,7.0
19:31:46.0,9.0
19:31:47.0,8.0
19:31:48.0,7.0
19:31:49.0,9.0
19:31:50.0,7.0
19:31:51.0,9.0
19:31:52.0,8.0
19:31:53.0,7.0
19:31:54.0,9.0
19:31:55.0,7.0
19:31:56.0,9.0
19:31:57.0,7.0
19:31:58.0,8.0
19:31:59.0,9.0
19:32:00.0,7.0
19:32:01.0,9.0
19:32:02.0,8.0
19:32:03.0,7.0
19:32:04.0,9.0
19:32:05.0,7.0
19:32:06.0,9.0
19:32:07.0,7.0
19:32:08.0,7.0
19:32:09.0,6.0
19:32:10.0,10.0
19:32:11.0,5.0
19:32:12.0,9.0
19:32:13.0,9.0
19:32:14.0,8.0
